competition,config_id,ModifiersLabel,Competitor,num_seeds,avg_score,min_score,max_score,score_range
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,10,0.07738778158319669,0.010573864307582389,0.12078280409349676,"[0.010574, 0.120783]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Random,10,0.11176834544954169,0.0815187980407552,0.12141302394033397,"[0.081519, 0.121413]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,SimulatedAnnealing,10,0.07646101455044348,0.023342261378746544,0.12044744126684669,"[0.023342, 0.120447]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Skopt-ET,10,0.11547655571946858,0.0978832496406455,0.12255054813155716,"[0.097883, 0.122551]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Skopt-GBRT,10,0.11322800273438809,0.07711176063345282,0.12255054813155716,"[0.077112, 0.122551]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Skopt-GP,10,0.11756222455457824,0.10664980466981032,0.12088786910327701,"[0.106650, 0.120888]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Skopt-RF,10,0.1159691929147723,0.09624727656650103,0.12255054813155716,"[0.096247, 0.122551]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Skopt-Random,10,0.11503532296864842,0.09836434770327794,0.12255054813155716,"[0.098364, 0.122551]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,TPE,10,0.11138124618744516,0.08155905339366794,0.12165320834851479,"[0.081559, 0.121653]"
