competition,config_id,ModifiersLabel,Competitor,num_seeds,avg_score,min_score,max_score,score_range,avg_time_seconds
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,LogSpaceSimulatedAnnealing,10,0.0440167769137059,0.04178317469293454,0.04709759907647709,"[0.041783, 0.047098]",0.08130648136138915
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,Random,10,0.04227938118824979,0.0,0.05139423855494601,"[0.000000, 0.051394]",0.094726824760437
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,SimulatedAnnealing,10,0.04491357570700586,0.04156999194415269,0.05035942770143428,"[0.041570, 0.050359]",0.0862452507019043
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,Skopt-ET,10,0.049768830948114885,0.04551072367613941,0.054415516706288906,"[0.045511, 0.054416]",4.868388748168945
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,Skopt-GBRT,10,0.051147252971760294,0.04545990176219892,0.05522796987518723,"[0.045460, 0.055228]",2.8990161657333373
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,Skopt-GP,10,0.0496270011365792,0.04346914812375407,0.05556448639274395,"[0.043469, 0.055564]",8.834902381896972
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,Skopt-RF,10,0.05183581696889813,0.04635880222063818,0.0553187111769612,"[0.046359, 0.055319]",5.212850522994995
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,Skopt-Random,10,0.045150402918620255,0.031058413023616758,0.05167670291033366,"[0.031058, 0.051677]",0.11697115898132324
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,4,config_04,TPE,10,0.04885826248317228,0.04508451035694199,0.0538419407068019,"[0.045085, 0.053842]",0.5087286949157714
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,LogSpaceSimulatedAnnealing,10,0.0036809551362635765,0.0005690109429167997,0.007168889034953196,"[0.000569, 0.007169]",0.07887046337127686
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,Random,10,0.002819308486145468,0.0,0.0063056451790511805,"[0.000000, 0.006306]",0.09206717014312744
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,SimulatedAnnealing,10,0.0031451454483040833,0.001329982076513318,0.006858772273236923,"[0.001330, 0.006859]",0.08532111644744873
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,Skopt-ET,10,0.006476530868762061,0.003911150229194285,0.008417356632953916,"[0.003911, 0.008417]",4.884962844848633
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,Skopt-GBRT,10,0.004528570353472093,0.0011305262315270206,0.008417356632953916,"[0.001131, 0.008417]",2.59607195854187
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,Skopt-GP,10,0.005126987478393905,0.001655409288870046,0.008977474999286453,"[0.001655, 0.008977]",8.377116227149964
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,Skopt-RF,10,0.006591026838547956,0.0034915878854020984,0.008417356632953916,"[0.003492, 0.008417]",5.189309120178223
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,Skopt-Random,10,0.004693797401866065,0.0007283234798889416,0.008417356632953916,"[0.000728, 0.008417]",0.11649765968322753
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,5,config_05,TPE,10,0.0055936653503251225,0.002873025369158984,0.009166173035119409,"[0.002873, 0.009166]",0.4983319044113159
