competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch,time_seconds
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,0,0.001186950083880103,10944.532273844403,0.49223450030523175,"[[1088, 1088, 1088], [704, 704, 704, 704, 704], [1088, 1088, 1088], [768, 768], [768, 768]]",0.08313226699829102
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,1,0.0019835283115127536,6479.865961360388,0.4918419310592996,"[[2304, 2304], [640, 640, 640], [1088, 1088, 1088, 1088, 1088], [960, 960, 960, 960], [1152, 1152, 1152]]",0.08835124969482422
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,2,0.0017215834654540788,6069.649704725133,0.49197102257489206,"[[896, 896, 896], [3456], [1280, 1280], [1280, 1280, 1280], [832, 832]]",0.08468770980834961
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,3,0.0006264434374515158,11397.874010476155,0.4925107288837888,"[[1280, 1280, 1280], [384, 384], [1024, 1024], [1152], [1152, 1152]]",0.07992267608642578
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,4,0.002393702835808191,6037.386627448674,0.4916397890748497,"[[3072], [2176, 2176], [1024], [960, 960], [704, 704, 704, 704, 704]]",0.08369565010070801
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,5,0.001179163156470862,8284.951148088727,0.4922383378545334,"[[960, 960, 960, 960], [576], [640, 640], [2176, 2176], [64, 64, 64, 64]]",0.08299970626831055
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,6,0.002609645206620984,6262.280645209437,0.4915333684739167,"[[2880, 2880], [256, 256, 256, 256, 256], [1536, 1536, 1536, 1536, 1536], [1088], [1216, 1216, 1216, 1216]]",0.08557701110839844
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,7,0.0019536161740693466,6984.454051223791,0.4918566723424944,"[[960], [1280, 1280, 1280, 1280], [1088, 1088], [2560], [1088]]",0.08491396903991699
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,8,0.0015556746191393194,6130.259666029126,0.4920527856816805,"[[1152, 1152], [576, 576], [896, 896], [2240], [3712]]",0.08721280097961426
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,9,0.001960370847034881,6530.014338013313,0.49185334350826243,"[[1536, 1536, 1536, 1536], [512, 512, 512], [1024, 1024, 1024], [1216, 1216, 1216], [1280, 1280]]",0.08535170555114746
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,0,0.002928368210967742,6557.087047681314,0.49137629557744866,"[[1024, 1024, 1024, 1024, 1024], [1792, 1792, 1792, 1792], [704, 704, 704, 704], [576, 576, 576, 576], [640, 640, 640, 640, 640]]",4.794590473175049
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,1,0.00221856539831378,6061.006796526274,0.49172610021088964,"[[3584, 3584], [896, 896, 896], [512, 512, 512], [1024, 1024], [256]]",4.772029399871826
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,2,0.0024993035576200483,6468.139525091367,0.4915877469849538,"[[576], [832, 832, 832, 832], [4032], [704, 704, 704], [2624, 2624, 2624]]",4.807873249053955
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,3,0.0026457583132247233,6781.4987964463535,0.49151557123249595,"[[1216, 1216, 1216, 1216], [192, 192, 192, 192, 192], [2944], [1088], [2304, 2304, 2304]]",4.4943952560424805
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,4,0.0029139676677128784,6153.091401096076,0.4913833924452897,"[[256, 256, 256, 256, 256], [256, 256, 256, 256, 256], [832], [3648], [1856, 1856, 1856]]",4.527347803115845
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,5,0.0025252554820138443,8690.353721702495,0.4915749573717854,"[[2560, 2560], [704, 704, 704], [3904], [192, 192, 192, 192, 192], [576, 576, 576, 576, 576]]",4.805171966552734
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,6,0.0016375136505340667,6210.465053420039,0.49201245381504394,"[[3392, 3392], [448], [576], [960, 960, 960, 960], [960, 960]]",4.738065242767334
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,7,0.00304141659481275,6365.200813950502,0.49132058313482796,"[[384, 384, 384, 384], [1152, 1152, 1152, 1152], [704, 704, 704, 704, 704], [3712], [1216, 1216, 1216]]",4.679566144943237
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,8,0.0026223937251682035,6150.792578833546,0.4915270857559874,"[[1472, 1472], [832, 832, 832, 832, 832], [1536, 1536, 1536], [1280], [1664, 1664, 1664, 1664, 1664]]",4.5782670974731445
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,9,0.0021332314351106114,6005.739960892568,0.49176815444790617,"[[1024, 1024], [3200], [1216, 1216], [3008], [832]]",4.721149921417236
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,0,0.002390058135879023,6197.212594945741,0.4916415852538729,"[[768, 768, 768, 768], [320, 320, 320, 320, 320], [448, 448], [320, 320, 320], [3072, 3072, 3072, 3072, 3072]]",2.803675651550293
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,1,0.002210510870880088,6362.622535601683,0.4917300696386888,"[[3328], [640, 640, 640], [1344, 1344, 1344, 1344, 1344], [384, 384], [2304, 2304, 2304, 2304, 2304]]",2.244422197341919
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,2,0.0032764140132543963,6516.519076819865,0.49120477183575717,"[[640, 640, 640, 640], [1152, 1152, 1152, 1152, 1152], [3520], [704, 704, 704], [1280, 1280, 1280, 1280, 1280]]",2.82397198677063
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,3,0.00241057124427502,6062.748579054386,0.49163147599502627,"[[1152, 1152, 1152, 1152, 1152], [192, 192], [2816], [1024, 1024, 1024, 1024, 1024], [3648]]",2.2423224449157715
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,4,0.001458048438052858,7446.726545764121,0.492100897762783,"[[2560, 2560], [128], [1600, 1600, 1600], [832, 832, 832, 832], [832, 832, 832, 832]]",2.198190450668335
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,5,0.002646953142572701,7293.969750882023,0.491514982397351,"[[4096], [768, 768, 768, 768, 768], [1792, 1792, 1792], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024, 1024]]",3.033338785171509
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,6,0.0020947083277748158,7681.874343252912,0.491787139384568,"[[512, 512, 512, 512], [1088, 1088, 1088, 1088], [576, 576, 576, 576], [256, 256, 256, 256, 256], [2304, 2304, 2304, 2304, 2304]]",3.1131339073181152
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,7,0.002091395508153677,6896.508574086983,0.49178877200651955,"[[2496], [2176, 2176, 2176], [320, 320, 320], [128, 128, 128, 128, 128], [1280, 1280, 1280]]",2.190924644470215
