competition,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
10tries_60days_no_noise,default_modifier,Random,0,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
10tries_60days_no_noise,default_modifier,Random,0,1,1,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.10969803200467707,5476.635867254581,0.4983788695959148
10tries_60days_no_noise,default_modifier,Random,0,2,2,"[[128, 128, 128], [128], [2048, 2048], [128], [512, 512, 512, 512, 512]]",0.08467925619166508,10312.653661657074,0.5123840382427262
10tries_60days_no_noise,default_modifier,Random,0,3,3,"[[2048, 2048, 2048, 2048]]",0.12343825631603604,3098.2424264863726,0.490687279880901
10tries_60days_no_noise,default_modifier,Random,0,4,4,"[[512, 512, 512]]",-0.006824458043174588,27116.823034162997,0.5636065664450075
10tries_60days_no_noise,default_modifier,Random,0,5,5,"[[512, 512]]",-0.017369301463493626,32214.75966610524,0.5695094256240317
10tries_60days_no_noise,default_modifier,Random,0,6,6,"[[64, 64, 64, 64], [128, 128], [64, 64], [1024, 1024, 1024]]",0.06051280929507746,8167.412704142623,0.5259120848150486
10tries_60days_no_noise,default_modifier,Random,0,7,7,"[[256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.12725971756891863,1209.4178100898523,0.48854807811803774
10tries_60days_no_noise,default_modifier,Random,0,8,8,"[[128, 128, 128, 128, 128]]",-0.008520401766343598,45022.37498140807,0.5645559325545247
10tries_60days_no_noise,default_modifier,Random,0,9,9,"[[256, 256], [64, 64, 64], [128, 128], [128, 128], [512, 512, 512, 512]]",0.016744982820422055,27165.58647045137,0.5504127156877678
10tries_60days_no_noise,default_modifier,Random,0,10,10,"[[64, 64, 64, 64], [2048, 2048, 2048, 2048], [128, 128, 128, 128, 128]]",0.1268445216962183,3112.251210632671,0.4887804990910737
10tries_60days_no_noise,default_modifier,Random,1,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
10tries_60days_no_noise,default_modifier,Random,1,1,1,"[[64, 64, 64, 64, 64], [512, 512], [64], [1024, 1024]]",0.05713786196797208,12460.59821423173,0.5278013341869396
10tries_60days_no_noise,default_modifier,Random,1,2,2,"[[256, 256], [2048, 2048, 2048, 2048, 2048], [1024, 1024, 1024], [1024, 1024, 1024, 1024], [1024, 1024, 1024]]",0.13774996633443548,1435.5106534247707,0.48267578028036107
10tries_60days_no_noise,default_modifier,Random,1,3,3,"[[128, 128, 128, 128, 128], [64, 64], [128, 128]]",0.0017161946108549865,44211.14760427712,0.5588256258559275
10tries_60days_no_noise,default_modifier,Random,1,4,4,"[[64, 64], [128, 128, 128, 128, 128]]",-0.0026085634644382166,45981.273881209716,0.5612465662989703
10tries_60days_no_noise,default_modifier,Random,1,5,5,[[2048]],0.00459109605453565,23226.345716047173,0.5572162953330181
10tries_60days_no_noise,default_modifier,Random,1,6,6,"[[128, 128, 128], [512], [128, 128], [1024, 1024, 1024, 1024]]",0.06863326235264013,5610.926623536946,0.5213663662151589
10tries_60days_no_noise,default_modifier,Random,1,7,7,"[[512, 512]]",-0.017369301463493626,32214.75966610524,0.5695094256240317
10tries_60days_no_noise,default_modifier,Random,1,8,8,"[[1024, 1024, 1024], [2048], [128, 128, 128, 128], [64, 64, 64], [128, 128, 128, 128, 128]]",0.1168923799575304,6536.41090939045,0.49435157197205787
10tries_60days_no_noise,default_modifier,Random,1,9,9,"[[128, 128, 128], [128], [2048, 2048, 2048, 2048]]",0.09834853431995366,5762.415903341308,0.5047321632310285
10tries_60days_no_noise,default_modifier,Random,1,10,10,"[[2048, 2048, 2048, 2048], [512, 512], [64], [256, 256, 256], [512, 512]]",0.12585863118555446,2735.2074459243963,0.48933238711998184
10tries_60days_no_noise,default_modifier,Random,2,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
10tries_60days_no_noise,default_modifier,Random,2,1,1,[[512]],-0.02791414488381266,39673.30231858423,0.575412284803056
10tries_60days_no_noise,default_modifier,Random,2,2,2,"[[64, 64, 64, 64], [128, 128, 128], [2048, 2048, 2048, 2048]]",0.11701737448881563,5788.711289309967,0.4942816017423527
10tries_60days_no_noise,default_modifier,Random,2,3,3,"[[1024, 1024, 1024, 1024, 1024], [2048, 2048, 2048, 2048, 2048], [1024, 1024, 1024, 1024]]",0.13695093332151606,1708.8679186639606,0.4831230680367223
10tries_60days_no_noise,default_modifier,Random,2,4,4,"[[512, 512, 512, 512], [128, 128, 128], [1024, 1024, 1024]]",0.05944484507078749,13867.357426628827,0.526509916586744
10tries_60days_no_noise,default_modifier,Random,2,5,5,"[[1024], [128, 128, 128, 128], [64, 64, 64], [1024, 1024, 1024, 1024, 1024]]",0.10871377732641938,4240.93737408536,0.4989298419082069
10tries_60days_no_noise,default_modifier,Random,2,6,6,"[[256, 256, 256, 256, 256], [64, 64], [2048, 2048, 2048]]",0.10049609008442932,7799.94585066828,0.5035299908751665
10tries_60days_no_noise,default_modifier,Random,2,7,7,"[[2048, 2048], [128], [256]]",0.08396140085603943,6994.85633088731,0.5127858838451885
10tries_60days_no_noise,default_modifier,Random,2,8,8,"[[128, 128], [256, 256, 256, 256, 256]]",0.0038962700011793546,35525.0203308531,0.5576052494581193
10tries_60days_no_noise,default_modifier,Random,2,9,9,"[[512], [256], [64, 64, 64], [256, 256, 256, 256, 256]]",0.0032570093192165195,23271.287938740024,0.5579630988479967
10tries_60days_no_noise,default_modifier,Random,2,10,10,"[[1024, 1024, 1024]]",0.027444189972167465,12854.071429098938,0.5444234458023312
10tries_60days_no_noise,default_modifier,Random,3,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
10tries_60days_no_noise,default_modifier,Random,3,1,1,"[[128], [64, 64, 64, 64], [64]]",-0.015819723432365426,47385.63914807981,0.568641993027827
10tries_60days_no_noise,default_modifier,Random,3,2,2,"[[512, 512, 512], [128, 128], [2048, 2048, 2048], [1024]]",0.12126404537162805,4405.881759324918,0.49190437344206317
10tries_60days_no_noise,default_modifier,Random,3,3,3,"[[256], [256, 256], [256, 256, 256], [128, 128, 128, 128, 128], [256, 256, 256, 256]]",0.01643256272196342,27650.963118989304,0.5505876041875197
10tries_60days_no_noise,default_modifier,Random,3,4,4,"[[2048, 2048]]",0.0737046124282585,7337.246109706405,0.5185274937776387
10tries_60days_no_noise,default_modifier,Random,3,5,5,"[[512], [512], [512, 512]]",3.4014621106168645e-07,22298.37467384734,0.5597861377263055
10tries_60days_no_noise,default_modifier,Random,3,6,6,"[[128, 128, 128, 128, 128]]",-0.008520401766343598,45022.37498140807,0.5645559325545247
10tries_60days_no_noise,default_modifier,Random,3,7,7,"[[64, 64, 64, 64, 64], [128], [1024, 1024, 1024], [64], [128, 128]]",0.034239350476329804,20653.7015616117,0.5406196078546147
10tries_60days_no_noise,default_modifier,Random,3,8,8,"[[512, 512, 512], [1024, 1024, 1024, 1024, 1024]]",0.11965627961879337,6726.196195267414,0.4928043787293445
10tries_60days_no_noise,default_modifier,Random,3,9,9,"[[64, 64, 64, 64], [64], [256], [512, 512, 512]]",0.019849775978593623,19608.528651783206,0.5486746949261347
10tries_60days_no_noise,default_modifier,Random,3,10,10,[[2048]],0.00459109605453565,23226.345716047173,0.5572162953330181
10tries_60days_no_noise,default_modifier,Random,4,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
10tries_60days_no_noise,default_modifier,Random,4,1,1,"[[64, 64], [256], [256, 256]]",-0.0220532821674021,43803.21167457047,0.5721314539833302
10tries_60days_no_noise,default_modifier,Random,4,2,2,"[[64, 64], [256, 256, 256, 256, 256], [256, 256, 256, 256, 256], [512, 512, 512, 512, 512], [2048]]",0.08590229258409543,8285.557689667614,0.5116993991914315
10tries_60days_no_noise,default_modifier,Random,4,3,3,"[[256], [128]]",-0.03265147804317582,43309.12988223215,0.5780641791374904
10tries_60days_no_noise,default_modifier,Random,4,4,4,"[[64, 64, 64], [512], [2048, 2048, 2048]]",0.09126833390189279,7002.389312027219,0.5086955626255183
10tries_60days_no_noise,default_modifier,Random,4,5,5,"[[2048], [512, 512, 512, 512, 512]]",0.07947646959110803,9977.12604379104,0.5152964870499246
10tries_60days_no_noise,default_modifier,Random,4,6,6,"[[256, 256, 256, 256], [256, 256], [64, 64]]",0.0011048829152459077,32888.870081796405,0.5591678297853588
10tries_60days_no_noise,default_modifier,Random,4,7,7,"[[128, 128], [64, 64, 64, 64]]",-0.008939483221783426,46576.778184650924,0.5647905286236551
10tries_60days_no_noise,default_modifier,Random,4,8,8,"[[512, 512, 512], [64, 64, 64, 64], [2048, 2048, 2048], [128, 128, 128], [2048, 2048, 2048]]",0.12304488282092685,4020.415737727958,0.490907484985314
10tries_60days_no_noise,default_modifier,Random,4,9,9,"[[2048], [512, 512, 512, 512, 512], [512, 512, 512, 512], [64, 64, 64, 64]]",0.11338528829668387,8717.830085138055,0.4963147939353178
10tries_60days_no_noise,default_modifier,Random,4,10,10,"[[512], [2048, 2048, 2048]]",0.12260948185925734,3995.1206604064,0.49115121649091364
10tries_60days_no_noise,default_modifier,Random,5,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
10tries_60days_no_noise,default_modifier,Random,5,1,1,"[[128], [1024], [64, 64, 64, 64], [1024]]",0.013120624882263891,33643.49990661324,0.5524415817098182
