competition,config_id,ModifiersLabel,Competitor,num_seeds,avg_score,min_score,max_score,score_range
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,4,config_04,Skopt-ET,10,0.13972128626026104,0.10487217964268793,0.1600313354971322,"[0.104872, 0.160031]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,4,config_04,Skopt-GBRT,10,0.13159198137088526,0.05899401308502058,0.1600313354971322,"[0.058994, 0.160031]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,4,config_04,Skopt-GP,10,0.111190197729696,0.0,0.14810902909155338,"[0.000000, 0.148109]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,4,config_04,Skopt-RF,10,0.1011314164005579,0.05822263743285569,0.15838548458734858,"[0.058223, 0.158385]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,4,config_04,Skopt-Random,10,0.10546755515230136,0.06107351987170063,0.1600313354971322,"[0.061074, 0.160031]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,4,config_04,TPE,10,0.12119580869114625,0.05340467124812846,0.1600313354971322,"[0.053405, 0.160031]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,LogSpaceSimulatedAnnealing,10,0.08055022677563793,0.016447237491382334,0.12363428281299833,"[0.016447, 0.123634]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,Random,10,0.12220292087827275,0.11698137569899052,0.1267826043615952,"[0.116981, 0.126783]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,SimulatedAnnealing,10,0.07339557929340472,0.0172409171729744,0.12040981818695991,"[0.017241, 0.120410]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,Skopt-ET,10,0.12150701587810545,0.11685033613799073,0.12527480833857804,"[0.116850, 0.125275]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,Skopt-GBRT,10,0.11548998577414904,0.06294268379116316,0.12429431063118865,"[0.062943, 0.124294]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,Skopt-GP,10,0.12026829727805607,0.11585355778774525,0.12750661065898306,"[0.115854, 0.127507]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,Skopt-RF,10,0.11904213654152432,0.10359641920300473,0.1237173270022246,"[0.103596, 0.123717]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,Skopt-Random,10,0.11061330820804352,0.035071075961075567,0.1237173270022246,"[0.035071, 0.123717]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds_pow2,5,config_05,TPE,10,0.12425448429169825,0.12062508273544312,0.12756464210944804,"[0.120625, 0.127565]"
