ModeTag,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
hardQPS_Q3500,modifiers_01,TPE,0,3,3,"[[512, 512, 512, 512], [256, 256, 256], [256, 256, 256, 256]]",0.03642586891517989,17402.836754001873,0.5445926907469544
hardQPS_Q3500,modifiers_01,TPE,0,4,4,"[[2048, 2048, 2048], [64], [1024]]",0.09325803054171201,4281.042792753983,0.5124722976991314
hardQPS_Q3500,modifiers_01,TPE,0,5,5,"[[64, 64, 64, 64], [64, 64, 64, 64], [512, 512, 512, 512, 512]]",0.03368644901141982,15436.0929575036,0.5461409556996414
hardQPS_Q3500,modifiers_01,TPE,0,6,6,"[[512], [512, 512, 512, 512], [1024, 1024, 1024, 1024, 1024]]",0.04492444052178915,4402.037583902615,0.5397894692516467
hardQPS_Q3500,modifiers_01,TPE,0,7,7,"[[128, 128, 128, 128], [128], [512, 512], [2048, 2048, 2048]]",0.13058809180686434,3668.2021010971357,0.4913740989676542
hardQPS_Q3500,modifiers_01,TPE,0,8,8,"[[128, 128, 128, 128]]",0.0026498047475958723,45778.5167027435,0.563682241902876
hardQPS_Q3500,modifiers_01,TPE,0,9,9,"[[2048], [2048], [2048, 2048, 2048], [1024, 1024, 1024, 1024], [128]]",0.13600553444568048,1399.0282112095285,0.48831226950538065
hardQPS_Q3500,modifiers_01,TPE,0,10,10,"[[64, 64]]",-0.017916551516564315,49769.991278612586,0.5753059322194164
hardQPS_Q3500,modifiers_01,TPE,0,11,11,"[[128, 128, 128, 128, 128], [64, 64, 64, 64], [128, 128, 128, 128]]",0.030739383792020087,40583.15656784311,0.5478065776023722
hardQPS_Q3500,modifiers_01,Skopt-Random,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,Skopt-Random,0,2,2,"[[2048, 2048, 2048, 2048]]",0.11354232823973595,3098.2424264863726,0.5010080212029967
hardQPS_Q3500,modifiers_01,Skopt-Random,0,3,3,"[[2048, 2048, 2048], [64, 64], [128], [1024, 1024], [512, 512]]",0.1300891086538715,3556.264662305906,0.4916561141952941
hardQPS_Q3500,modifiers_01,Skopt-Random,0,4,4,"[[128, 128, 128, 128]]",0.0026498047475958723,45778.5167027435,0.563682241902876
hardQPS_Q3500,modifiers_01,Skopt-Random,0,5,5,"[[1024, 1024]]",0.006166179499052343,18356.742461794824,0.5616948577195601
hardQPS_Q3500,modifiers_01,Skopt-Random,0,6,6,"[[128], [1024], [128, 128, 128, 128, 128]]",-0.003047272020148868,33721.45412608893,0.5669021149424781
hardQPS_Q3500,modifiers_01,Skopt-Random,0,7,7,"[[512, 512]]",-0.008054972915915495,32214.75966610524,0.5697323666245269
hardQPS_Q3500,modifiers_01,Skopt-Random,0,8,8,"[[1024, 1024], [1024, 1024, 1024], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13929438059652074,2892.647313663576,0.4864534799042916
hardQPS_Q3500,modifiers_01,Skopt-Random,0,9,9,"[[128], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [64]]",0.129039065576634,4134.900500778681,0.4922495773927641
hardQPS_Q3500,modifiers_01,Skopt-Random,0,10,10,"[[2048, 2048]]",0.04405097031737031,7337.246109706405,0.5402831370178997
hardQPS_Q3500,modifiers_01,Skopt-Random,0,11,11,"[[256, 256]]",-0.013985238374851923,42206.770664093005,0.5730840332155446
hardQPS_Q3500,modifiers_01,Skopt-GP,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
