competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,0,0.030008408817380903,26909.373231817935,0.5429880311504333,"[[128, 128], [256, 256, 256, 256, 256], [256], [512], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,1,0.05681847031969117,9573.5493216823,0.527980125264968,"[[128], [128], [1024, 1024], [512], [1024, 1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,2,0.10252783913708105,7286.450847388437,0.5023926455332898,"[[1024, 1024], [1024, 1024, 1024], [64, 64], [128], [128, 128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,3,0.10969792438601482,7553.016983598541,0.4983789298393706,"[[256, 256], [1024, 1024, 1024], [1024, 1024, 1024], [128, 128], [64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,4,0.020676969499647285,19647.798250272284,0.5482116433023266,"[[256, 256, 256, 256], [1024], [512], [64], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,5,0.12119186056087533,10149.019682586857,0.4919447815122216,"[[64, 64, 64, 64], [256], [4096], [64, 64], [2048, 2048]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,6,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,7,0.12078280409349676,7129.984145464545,0.4921737657300955,"[[256, 256, 256, 256, 256], [1024, 1024, 1024, 1024, 1024], [256, 256], [64, 64], [2048]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,8,0.11427204529179047,6359.809985650154,0.4958183994930786,"[[128, 128], [2048, 2048], [512, 512], [128], [256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,LogSpaceSimulatedAnnealing,9,0.09622839891542236,7820.8783212301105,0.5059189860442812,"[[1024, 1024], [1024, 1024], [256, 256, 256], [256, 256], [128, 128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,0,0.0843384762642486,10956.321474582866,0.5125748021869969,"[[128], [512, 512], [2048], [128], [1024, 1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,1,0.07834151315197532,16345.89065262667,0.5159318201475804,"[[128, 128], [1024], [64, 64], [2048], [256, 256, 256, 256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,2,0.08767395100479188,13143.309609546175,0.5107076490293995,"[[64, 64, 64, 64, 64], [64, 64, 64, 64], [1024], [512, 512], [512, 512, 512, 512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,3,0.1209133437335348,6111.5250431440545,0.4921006914243225,"[[1024, 1024, 1024, 1024, 1024], [512, 512, 512, 512, 512], [64, 64, 64, 64], [256], [128, 128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,4,0.11523491278354302,8929.510313734072,0.4952793994353894,"[[64, 64, 64, 64], [512, 512, 512, 512, 512], [512, 512, 512, 512], [64, 64, 64, 64], [2048, 2048]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,5,0.1198485948797851,11102.107946630491,0.49269672327554953,"[[4096], [64, 64, 64], [1024], [128, 128, 128, 128, 128], [512, 512, 512, 512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,6,0.11473149718652821,8430.73326423192,0.49556120460396846,"[[1024, 1024, 1024], [64, 64, 64, 64, 64], [256, 256], [1024], [512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,7,0.12064437961852018,7826.989516690742,0.49225125385866675,"[[4096], [64, 64, 64, 64, 64], [64, 64, 64, 64, 64], [256, 256, 256, 256], [1024, 1024, 1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,8,0.08672549697669117,9375.740570679089,0.5112385806271953,"[[1024, 1024, 1024, 1024], [128, 128], [64, 64, 64], [64, 64, 64, 64], [2048]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Random,9,0.1211316756683502,6580.120475817939,0.49197847219221746,"[[2048], [256, 256, 256, 256], [2048, 2048], [256, 256, 256, 256, 256], [64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,0,0.1059603523278566,6635.044399669467,0.5004711715779488,"[[256, 256], [2048, 2048], [256, 256], [64, 64], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,1,0.06614959953859176,11272.145367480565,0.5227566867021617,"[[1024, 1024], [512, 512, 512], [256, 256, 256], [64, 64, 64, 64], [256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,2,0.05782631512423688,11643.706055954355,0.5274159475225009,"[[256, 256], [512, 512], [1024, 1024], [512], [128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,3,0.023342261378746544,21488.73269252028,0.5467196493479163,"[[512, 512, 512], [128, 128], [256, 256], [256], [256, 256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,4,0.042284778698410526,10509.443276447577,0.5361158871318984,"[[512], [2048], [512, 512], [64], [256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,5,0.12388177207204897,6101.708853856384,0.4904390058243723,"[[128, 128, 128, 128], [1024], [512, 512, 512, 512, 512], [4096], [64, 64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,6,0.060680954643078044,11993.038869371409,0.5258179593480983,"[[64, 64, 64], [256, 256, 256, 256], [1024, 1024, 1024, 1024, 1024], [128], [128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,7,0.11905973056242418,8714.16477169493,0.4931383187351621,"[[128], [512, 512, 512, 512], [512, 512], [2048], [128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,8,0.11961854038562214,6470.382777092537,0.4928255046361081,"[[256, 256, 256], [2048, 2048], [64, 64, 64, 64], [64, 64], [1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,SimulatedAnnealing,9,0.04828470187859551,13778.285818905762,0.5327572121657675,"[[128, 128, 128], [256, 256, 256], [256, 256, 256], [512, 512, 512], [512, 512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,0,0.07776760468740199,10099.855187995083,0.5162530862596498,"[[64], [1024, 1024, 1024, 1024], [64], [128, 128, 128], [128, 128, 128, 128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,1,0.12282124095544401,7276.09330707866,0.49103267664401,"[[64, 64], [512, 512], [256, 256, 256, 256], [4096], [256, 256, 256, 256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,2,0.07396632794724532,7494.999188708406,0.518380989008249,"[[64, 64], [512, 512], [64, 64, 64, 64, 64], [128], [2048, 2048, 2048]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,3,0.12197039554804366,12234.539092586028,0.4915089682704296,"[[512, 512, 512, 512, 512], [256, 256, 256], [4096], [64, 64, 64, 64, 64], [1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,4,0.11952706522549784,9447.839365859454,0.4928767111801097,"[[128, 128, 128, 128], [256, 256, 256, 256], [2048], [512, 512, 512], [64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,5,0.07412222333840535,9493.96964833739,0.5182937208996583,"[[128, 128, 128], [512], [512], [256, 256, 256, 256, 256], [1024, 1024, 1024, 1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,6,0.09599259948579505,7658.430617058114,0.5060509833411687,"[[64, 64], [2048, 2048], [128, 128, 128, 128, 128], [128], [256, 256, 256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,7,0.11763206414839773,7826.2940015186505,0.49393750687487237,"[[1024, 1024, 1024], [64, 64, 64], [512], [256, 256, 256, 256, 256], [4096]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,8,0.12141536137630392,6152.492766020214,0.49181966881141753,"[[128], [1024, 1024, 1024, 1024, 1024], [2048], [64], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-ET,9,0.11212621360922267,8296.553216490285,0.49701960673146006,"[[128, 128, 128, 128], [64, 64, 64, 64], [2048, 2048], [512], [256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,0,0.11993758185810624,6783.932471897635,0.49264690958170326,"[[2048, 2048], [128, 128, 128, 128], [64], [64, 64, 64, 64, 64], [256, 256, 256, 256, 256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,1,0.11817534764178876,6626.220594154757,0.49363338420297037,"[[256, 256], [2048, 2048], [256], [64, 64, 64], [128, 128, 128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,2,0.1199687893888681,6495.4922556681,0.4926294400326479,"[[64, 64], [1024, 1024], [2048, 2048], [128, 128, 128, 128], [512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,3,0.12197039554804366,12234.539092586028,0.4915089682704296,"[[512, 512, 512, 512, 512], [256, 256, 256], [4096], [64, 64, 64, 64, 64], [1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,4,0.12043905825531309,6888.169283703354,0.4923661899506642,"[[512, 512, 512, 512], [512], [2048, 2048], [128, 128, 128, 128, 128], [512, 512, 512, 512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,5,0.11983829139161731,7533.775241850823,0.49270249102735797,"[[64, 64, 64], [512], [2048], [256, 256, 256, 256], [1024, 1024, 1024, 1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,6,0.11494236391540898,6893.091714035181,0.49544316429208235,"[[64], [1024, 1024, 1024, 1024], [512, 512, 512, 512], [256, 256], [1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,7,0.12079850563470904,11903.532880870927,0.49216497622199423,"[[64, 64], [512, 512, 512], [4096], [64, 64, 64, 64], [64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,8,0.11970296802607235,14545.705077466746,0.4927782431972673,"[[128, 128], [128, 128], [4096], [256], [64, 64, 64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GBRT,9,0.11964660831991003,7309.97165900577,0.4928097925902347,"[[128, 128, 128, 128], [64, 64], [2048, 2048], [512], [512, 512, 512, 512, 512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GP,0,0.04787126417685558,18849.677168895854,0.5329886489387373,"[[256, 256, 256], [256, 256, 256, 256], [64, 64, 64, 64], [256, 256, 256, 256], [512, 512, 512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GP,1,0.12301868595068947,6933.334253488742,0.4909221496351128,"[[1024, 1024, 1024, 1024, 1024], [64, 64], [4096], [128, 128], [512]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GP,2,0.1200076356149069,7261.062146700938,0.4926076944464117,"[[256, 256, 256, 256], [512, 512, 512, 512], [1024, 1024, 1024], [512, 512, 512], [256, 256, 256, 256, 256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GP,3,0.12021837177774558,6251.126940916622,0.4924897272236109,"[[128, 128, 128, 128], [256, 256, 256], [2048, 2048, 2048], [256, 256, 256, 256], [64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,1,config_01,Skopt-GP,4,0.12434982276230942,8303.085690178386,0.4901769974470901,"[[4096], [128, 128, 128, 128, 128], [4096], [128, 128, 128, 128], [1024, 1024]]"
